Gene_Name,CAPNS1,PFN2,PYGB,SCRN1,CCND1,HTRA1,ITGB5,RALB,TWF1,ANXA2,PKM,ACTN1,ANXA5,PTMS,CD63,RAB13,CBR1,SQSTM1,HCLS1,PTPRCAP,PTPRC,CORO1A,ARHGDIB,LAPTM5,WAS,CXCR4,LRMP,DAG1,PIR,MYB,EMP2
CGGA_1001,8.010108453,5.152994605,5.636624621,5.686780635,5.926473911,8.58082385,6.41040895,4.70763522,5.006298024,7.568564198,9.399918743,7.116967695,7.748327048,7.659567835,10.1625298,7.17332735,6.483493351,8.319807579,6.627315001,3.687060688,4.745775149,6.609252626,8.748058639,9.112700133,6.010332283,7.054088735,3.7473874,4.754887502,3.6622055,0.163498732,4.617063344
CGGA_1002,8.608217853,7.422064766,5.525129251,5.186262836,4.432959407,8.429825157,4.054848477,4.338424415,4.031218731,4.615887074,8.940812764,5.237640195,6.475733431,8.97366867,9.580164332,5.602587527,7.178117046,7.258895755,3.87282876,3.956056652,1.416839742,6.533563348,5.868884273,6.474436043,3.450221496,1.691534165,2.408711861,3.744161096,5.148120631,0.286881148,2.084064265
CGGA_1003,7.534030467,6.843104497,5.722466024,4.721919446,4.765534746,7.786138913,2.40599236,3.092545742,4.89917563,3.976363636,7.673909705,2.641546029,6.199476046,9.509913528,9.069610878,6.776762002,3.440952198,5.886306263,1.855989697,3.498250868,0.970853654,4.618238656,4.800123353,4.444269502,3.016139703,2.201633861,0.948600847,2.981852653,3.438292852,0.411426246,1.941106311
CGGA_1004,7.497053445,7.089265084,5.845991771,5.770036139,5.279842694,8.284014345,5.635464198,4.847996907,5.078097423,7.872274717,8.199328805,5.100557221,8.212472066,8.256350238,9.548417358,7.752146451,6.73809226,8.827088602,6.708739041,4.363171077,5.005849076,7.149950302,7.862079387,8.837249472,5.397118409,4.819157224,4.110196178,4.358958826,4.930737338,0.111031312,2.847996907
CGGA_1005,7.007644031,7.94181058,5.727648222,6.263410059,4.100977648,7.527007761,4.496973581,4.23878686,4.745775149,3.716990894,8.419791678,3.841973119,6.439456919,8.626439137,7.54874486,5.234194723,4.635173947,6.363696745,3.589763487,2.375734539,2.028569152,4.855491443,4.64038956,5.772149591,2.646162657,1.389566812,1.66448284,4.838951767,2.087462841,0.176322773,1.627606838
CGGA_1006,8.852404663,7.062747746,6.535119822,6.29130886,3.803227036,7.09824268,6.190022175,4.92314918,4.739308071,10.12299619,10.21397905,6.856736756,8.184528261,8.6044791,9.594959026,7.229587923,7.521521924,8.672990994,4.608809243,2.350497247,3.068670811,5.30487605,6.13627343,6.947666157,3.419538892,6.042425465,1.531069493,5.969242604,3.200064862,1.35614381,5.345183447
CGGA_1007,7.852747965,8.396433531,5.976134473,5.741736624,3.71918344,7.410154514,6.170325694,4.868390453,5.608809243,7.219555769,8.881664619,5.689019541,8.04990299,8.790087794,8.369684581,6.446752485,7.604664415,7.931742144,4.745237332,1.914564523,2.472487771,4.7473874,7.176322773,6.147103144,2.5360529,5.308885057,1.815575429,6.015024705,3.705977902,0.713695815,3.177917792
CGGA_1008,7.609695873,6.517748114,5.283180979,7.504779271,5.478001056,7.515226746,5.247927513,5.008540672,6.009884589,7.721782768,9.344828497,6.460906348,9.308202491,9.224122296,10.09403809,7.18408189,6.539003674,7.781425289,3.731183242,1.673556424,2.327687364,4.012568674,6.391630262,5.820689561,2.298658316,5.472812666,1.432959407,6.42609699,2.711494907,0.695993813,3.56924803
CGGA_1010,4.792855352,4.368069877,4.09085343,2.992768431,5.924337464,2.746312766,2.319039816,0.970853654,1.021479727,1.163498732,6.154210531,1.372952098,2.286881148,6.060047384,4.550285049,1.875780063,0.632268215,4.394376945,2.269033146,1.250961574,0.622930351,2.207892852,1.526068812,2.263034406,0.948600847,0.344828497,0.516015147,2.229587923,0.176322773,0.084064265,0.650764559
CGGA_1011,7.340651278,7.096978636,6.92825187,5.76897825,5.279099802,7.88300979,4.854993017,5.170325694,5.909533115,6.268658955,9.256963458,5.832130501,8.335702979,8.272769732,10.14920093,7.520107902,6.263597849,7.372603915,6.870981124,2.910732662,4.907852072,6.024364009,7.551362204,8.294574802,4.340562269,6.394033895,3.350497247,4.72410452,4.464014725,0.201633861,4.300855871
CGGA_1012,7.881113961,6.671293372,6.621465834,4.468583317,4.901108243,8.132731056,4.622344723,4.693208149,4.918386234,6.993108222,8.595966065,5.458775699,7.553514104,9.796234335,9.810957159,7.818326528,5.975446766,7.604219619,4.560714954,3.925049965,2.176322773,5.574101508,7.22660486,7.16158541,3.301587647,4.269781238,2.185866545,4.990501111,3.921245889,0.526068812,1.963474124
CGGA_1013,7.285124751,7.989479654,6.260025656,5.756489607,4.821199978,7.565292521,5.626439137,3.830863757,4.704871964,4.138323004,8.060533822,2.925999419,6.821837746,8.929731831,8.250203656,6.504620392,2.545968369,6.836681593,4.297925053,2.849999259,2.657640005,4.794415866,5.969703088,6.847871667,3.017921908,3.488000771,2.207892852,4.859969548,2.498250868,0.084064265,1.773996325
CGGA_1014,8.42840205,6.834660658,6.068885737,5.194165869,4.674121633,7.99384416,3.905928478,3.951401292,4.554588852,5.942514505,8.221780434,5.404971224,7.117175546,9.502851689,10.06188418,6.876762491,6.666756592,7.045049741,4.21023299,3.688180359,1.454175893,6.806839582,5.952333566,6.162492037,3.831877241,3.285402219,1.98550043,4.391630262,5.105175192,0.40053793,1.40599236
CGGA_1015,7.537296067,5.90014226,5.819668183,4.564987801,4.294988268,7.701618362,6.380937195,5.497931652,5.418189948,9.149340669,9.447331233,6.735657559,8.759821621,9.627187304,10.85087442,6.882031608,6.058099988,8.17876443,6.030998118,3.111031312,4.649040566,6.053328593,8.217424614,7.918445868,4.634012356,5.3305584,3.102658131,3.969933275,3.650764559,0.344828497,4.497612366
CGGA_1017,7.347754228,7.740118043,6.194756854,6.805421446,2.550900665,7.879154359,4.242602506,5.538538164,4.465321514,3.218781168,8.545543712,5.203592714,5.77452353,7.501677982,7.693626342,4.403267722,6.658211483,6.908932967,4.071247819,1.910732662,2.560714954,5.673556424,4.575917361,5.168722254,2.13422094,1.469885976,3.165107985,4.498250868,3.121015401,0.23878686,2.232660757
CGGA_1018,6.586164246,7.006522446,6.326968712,6.081510068,6.156841525,9.465301104,3.209453366,3.924099886,5.092545742,4.218781168,8.270669094,3.783456654,5.91336816,8.903670998,8.687480667,5.658211483,4.099295204,6.617798026,3.025028794,3.166715445,1.23878686,4.639810978,4.676944359,4.738767837,2.46727948,2.066950244,1.232660757,4.842978832,2.66448284,0.35614381,1.438292852
CGGA_1019,8.675815931,5.998872454,6.150762744,5.615887074,4.937815169,7.958378712,5.596338864,4.832383717,4.698774109,8.654528628,9.741096153,7.274354856,8.974242489,8.739375586,10.91523704,7.183982678,7.6085875,8.839865134,4.943921327,2.634593268,1.925999419,6.40599236,7.638001411,7.835545166,4.169925001,4.743622676,1.316145742,5.109778429,4.020591095,0.124328135,3.87774425
CGGA_1020,6.983563697,7.9086328,5.558267634,5.622637567,5.380590934,7.828453874,4.606442228,3.839959587,5.097610797,5.39848719,7.894878379,3.770829046,6.608069968,8.36132973,8.187945856,6.711907833,5.34269696,6.308521062,5.527007761,2.381283373,3.878725341,5.074676686,6.510012465,7.14363831,3.698218478,4.259272487,2.653060017,4.568032105,2.364572432,0.150559677,1.526068812
CGGA_1022,7.454340425,6.278356528,5.339137385,6.259649121,4.04176865,7.714588976,5.819412726,4.792855352,5.376429311,8.92555444,9.735759087,7.431790083,8.612831646,6.670018844,9.727120626,6.940871478,6.476057596,8.050501697,5.697106574,1.070389328,3.817623258,4.869377924,6.765534746,8.311748315,3.862947248,5.294988268,2.40053793,4.874796966,3.918386234,0.389566812,2.204766751
CGGA_1023,8.427270935,6.978653265,5.475084883,4.984133595,4.655351829,7.386379867,3.793895883,3.368768349,2.526068812,6.491211756,8.880440648,5.98436149,7.915401388,9.368222696,9.115121702,6.176322773,6.707773243,7.04144013,3.288358562,3.873813198,0.941106311,5.078524445,6.37920506,5.609104847,3.794935663,4.699884729,0.887525271,4.432291338,1.618238656,0.516015147,0.831877241
CGGA_1024,8.408457125,7.492894667,6.788163657,6.350143602,6.390426941,8.225255646,5.758622982,4.904002316,5.771621518,9.024807233,9.580428175,6.86393845,9.023588039,9.283597722,10.47276191,6.826294245,6.924456239,7.717882018,4.85698569,1.521050737,3.039138394,5.06307145,6.422401216,6.693068724,2.974529312,5.121429909,1.769771739,5.537917249,3.171527106,0.678071905,4.369466484
CGGA_1026,7.171226847,7.041221075,5.420886575,6.808642468,5.183883459,7.773337048,4.543495883,5.005849076,4.760220946,6.725195817,8.324045499,5.506525779,8.944799894,7.737686761,8.606516256,6.800511679,6.255311886,6.580145484,5.254367281,2.50589093,3.220329955,4.955591792,6.772281579,6.795065583,3.08236197,5.255500733,1.910732662,5.934044647,2.957914599,0.604071324,2.843983844
CGGA_1027,6.509379149,7.929495139,7.093708055,5.844486088,4.568640195,7.368244526,3.496973581,4.159467729,5.852747965,6.109151579,9.623277955,5.15704371,6.90147032,8.815703503,9.298291731,6.609548139,2.056583528,8.779161208,4.09592442,1.182692298,2.671293372,4.363871925,6.052459369,6.456477629,2.666756592,4.893362211,1.327687364,4.760220946,3.171527106,0.250961574,1.526068812
CGGA_103,7.022034845,7.562776657,5.586764743,6.357024093,3.444932049,7.549053029,5.109778429,4.478324711,5.328405659,5.274634403,7.749668341,3.558267634,6.197314999,8.556429415,8.130519083,6.839077783,5.56193706,6.549361133,3.988230223,2.797012978,2.580145484,4.798569004,4.95930649,5.601993581,3.200064862,3.089159132,1.735522177,5.422569411,2.97819563,0.687060688,2.59454855
CGGA_1030,8.48703608,7.844046634,5.165510018,5.669593751,2.825785627,8.001182976,3.137503524,4.711494907,4.368768349,3.502075956,8.513253856,5.3172317,5.82527683,8.586652169,8.481395824,5.102658131,6.706944902,6.799734922,3.016139703,2.214124805,1.14404637,5.95419631,4.605849867,4.266036894,1.794935663,1.807354922,2.669026766,3.295723025,4.084064265,0.464668267,1.432959407
CGGA_1031,6.964398632,8.40782009,6.51080372,5.849498932,5.168321116,7.997066545,5.354381632,4.016139703,5.461070114,3.565597176,8.064149939,2.538538164,6.887037791,8.51621218,8.064581109,5.881175155,6.351557662,6.533251852,4.22881869,1.613531653,3.142413438,5.192194165,5.864433796,6.945911978,3.054848477,2.782408565,2.289834465,5.451211112,3.181102551,0.150559677,1.618238656
CGGA_1033,9.95942242,8.067004043,5.515069014,5.088735246,2.904965719,8.441740749,3.901108243,5.00495076,2.704871964,3.512226887,9.574233991,3.962549023,4.489286023,9.127710653,9.163876062,4.597531174,6.682994584,6.798569004,2.201633861,3.500802053,0.22650853,6.801805344,3.926948248,4.401220862,1.847996907,1.555816155,2.010779839,3.303050085,4.516015147,0.176322773,1.378511623
CGGA_1034,7.227567813,8.243221596,5.693486957,6.725741157,6.812369866,7.788816194,5.668459557,5.183883459,6.03562391,7.491372118,8.126291478,6.044394119,7.832383717,7.328226119,9.218708528,6.670018844,6.915998852,7.968781974,5.251719093,2.310340121,4.333423734,6.028790136,6.433794059,7.313245852,3.59454855,4.384740587,2.778208576,5.576824431,4.0721058,0.111031312,3.207892852
CGGA_1035,7.485829309,6.290203205,5.858727024,5.582254908,4.129283017,7.389136555,6.202809492,5.41379715,5.747924416,9.600433308,10.17398937,6.358079723,8.740354199,8.001014038,10.18963927,7.498649788,6.419538892,8.999154423,6.009436756,2.339137385,4.257010618,5.358958826,6.864928972,8.098190034,3.980939266,5.298291731,1.937344392,4.9795681,3.608809243,0.641546029,4.72410452
CGGA_1036,8.225159226,7.097189387,6.724513853,4.116863758,4.521050737,7.680886921,5.785812075,4.547819957,4.617063344,8.453270634,8.955678965,6.526538363,8.284153192,10.05277181,11.14268147,7.635391641,7.72369507,8.243602443,4.90833257,4.369466484,2.464668267,5.445925299,6.459431619,7.681730355,4.118525849,4.588564737,1.350497247,4.93593114,4.40599236,0.454175893,2.843983844
CGGA_1037,10.36095679,6.76884596,5.430285273,3.534808661,6.171126747,9.020535537,3.459431619,2.715893371,2.464668267,3.430285273,8.49817107,2.198494154,4.523561956,10.05233709,10.4223907,6.080870812,5.244125943,6.4264325,2.344828497,6.806581843,0.526068812,7.508270176,4.278728213,6.77807713,4.140778656,2.972692654,0.86393845,3.184280294,5.154615611,0.286881148,1.709290636
CGGA_1039,7.465239874,8.291400959,5.443606651,5.683977107,4.904965719,7.745439037,4.389566812,4.374343989,5.484138131,4.934044647,8.619559738,5.885330315,7.846242565,9.244292472,8.732540561,6.646018611,6.733083132,7.065335347,3.599317794,1.807354922,1.799087306,4.465974465,5.420549772,5.975217457,2.117695043,3.132576843,1.981852653,5.315421316,2.592158002,0.918386234,1.416839742
CGGA_1041,7.299299615,7.511278265,6.570918255,6.278914019,3.851998837,7.887708033,4.497612366,5.017921908,4.972692654,4.35473424,8.404886096,4.254745198,6.983791683,7.310794527,8.279099802,5.095080492,7.339226481,6.904845329,4.028569152,2.648465443,2.669026766,5.323009711,5.276124405,5.85698569,2.687060688,2.295723025,2.201633861,5.090430042,4.003602237,0.298658316,2.871843649
CGGA_1045,7.892148128,6.476705707,6.080657663,5.655924213,3.160274831,8.464954099,5.895544989,5.008540672,5.252476214,9.448405435,9.740455397,7.126704473,9.216939821,8.391372492,10.57999469,7.741399569,7.231701199,8.299345411,5.955126781,3.106013238,4,5.955824241,7.393090088,8.129695157,4.066950244,6.24164954,2.272023189,5.032982417,3.90303827,0.713695815,3.010779839
CGGA_1048,7.24830712,6.262470743,6.020368851,5.730639956,6.680324357,10.66084271,4.991408467,5.096767855,5.04745114,6.253422058,9.503189699,6.604516165,7.491291939,8.944419247,10.53110849,6.508428653,6.619266268,7.883254231,3.937344392,3.140778656,2.063502942,5.841218374,6.103917211,6.307246355,3.614709844,4.645009884,1.650764559,4.813524689,3.808385051,0.378511623,2.14404637
CGGA_1049,7.486070744,6.29480452,5.871597266,5.993674362,3.046141782,7.245457633,5.720278465,4.680886921,5.486714373,9.146823209,9.921662448,6.671576448,8.475449727,7.926651806,9.664927214,7.583007527,6.632559052,9.118006651,4.732811872,1.214124805,3.638073837,5.017476563,6.561020578,7.380764075,3.320484678,5.033423002,1.263034406,5.642701572,4.100977648,0.575312331,2.247927513
CGGA_1050,6.411087227,7.472000292,6.612205037,5.912889336,5.863442934,8.410451352,4.348374075,4.15704371,5.367021533,3.206330648,8.134990966,3.35473424,6.598275868,8.22568946,8.216794351,5.699051844,5.807612523,6.540864216,3.439623138,1.748461233,2.553360503,4.568032105,5.419538892,6.145677455,2.570462931,2.969012308,2,5.430285273,3.030336078,0.443606651,2.307428525
CGGA_1053,7.698079537,8.060803995,5.429950657,5.361768359,5.290203205,8.138323004,5.008988783,4.967629753,5.798050515,7.865238371,8.800867552,6.122051448,8.216357854,9.38663853,9.675339611,6.527164193,7.623735202,7.909353097,5.025471815,2.448900951,3.346247774,5.922673593,7.743084056,8.045705065,3.725741157,5.783194703,1.948600847,5.250961574,4.450221496,0.879705766,3.992768431
CGGA_1055,7.33136485,7.95890066,5.612647378,5.16470584,4.898692073,8.048050866,4.089159132,3.862947248,5.532005194,5.508745554,8.096135325,3.846994687,7.346336433,9.193697833,8.583834955,6.534186139,4.477677328,6.587364991,4.510329019,1.967168608,2.608809243,4.692092375,5.98208091,6.901228945,3.320484678,3.925049965,2.066950244,4.781359714,3.304511042,0.298658316,1.448900951
CGGA_1057,9.288220119,5.976363636,5.421896512,4.739308071,4.898208353,8.325710208,5.827565007,3.830863757,3.821710215,8.059074015,8.503110175,5.245267467,7.64284595,8.935724925,11.35431551,7.151270289,8.090800514,8.299162218,5.459431619,5.95419631,2.166715445,7.053545818,7.342163583,8.440661571,4.72900887,4.697106574,1.565597176,4.043519494,6.735928284,0.056583528,1.970853654
CGGA_1058,7.400025518,7.667395439,6.128458384,5.729280846,4.570462931,8.101187815,5.035183997,4.274261661,5.697106574,6.937697489,7.92118637,4.978653265,7.389222616,8.567195561,9.854416497,7.920888742,7.219071692,7.327417911,5.14404637,2.855989697,3.039138394,5.254367281,6.74321873,6.782539618,3.22342255,4.482848283,2.718087584,4.315421316,4.980939266,0.042644337,2.666756592
CGGA_1059,7.782736175,8.567956075,6.075318693,5.491211756,4.467931546,7.201045686,3.836934011,4.274261661,5.821710215,5.572889668,8.218296831,4.996388746,7.963242904,10.32134188,9.446090774,7.127014142,5.132165525,7.2492557,5.250961574,2.169925001,3.23572706,4.873321063,6.472812666,7.045486656,2.889473543,5.742545234,2.263034406,5.200849575,2.44625623,0.432959407,1.700439718
CGGA_106,7.979796718,6.435461914,5.627898616,5.246408087,3.404630684,8.414389268,5.728192635,4.465321514,3.867896464,7.791293149,9.181649224,5.6794801,7.545196172,8.248496886,10.55898505,6.698912983,8.519518317,8.234913209,6.18705509,5.345893086,3.092545742,7.054848477,7.364484887,8.028127082,4.842476063,5.70348835,3.068670811,4.069530325,5.958146674,0.137503524,2.310340121
CGGA_1060,7.331096084,8.562509565,6.359837393,5.810957159,5.874551087,6.483493351,4.556429415,4.182692298,5.610581958,6.373300197,9.072159407,4.416164165,6.547048751,8.841124003,8.639847146,6.543495883,2.310340121,7.129489102,3.187451054,2.456806149,2.646162657,3.50589093,4.910732662,5.308521062,2.211012193,3.412781525,1.475084883,5.057016965,1.40053793,0.5360529,2.713695815
